                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7733,                 1.5795,                 1.4335,                0.79577,                 0.7131,                0.79297,                0.38494,                 1.7434,                 2.1378,                 1.4078,                0.00048,                0.00048,                0.00048
                      2,                 1.6593,                 1.2432,                 1.3808,                0.65871,                0.31373,                0.39395,                 0.1464,                 2.3182,                 2.0305,                 1.9999,             0.00094119,             0.00094119,             0.00094119
                      3,                 1.7145,                 1.3039,                 1.4666,                0.25416,                 0.6058,                0.21985,                0.08609,                 2.0949,                  15.77,                 2.2184,              0.0013628,              0.0013628,              0.0013628
                      4,                 1.7851,                 1.3921,                 1.4647,                0.24397,                0.27451,                0.21417,                0.09216,                 2.3226,                 6.5407,                 2.1141,              0.0017448,              0.0017448,              0.0017448
                      5,                 1.7394,                 1.3179,                 1.4808,                0.67164,                0.55556,                0.59326,                0.23904,                 2.0855,                 2.4986,                  2.158,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.7352,                  1.352,                 1.4694,                0.20308,                0.39216,                0.19452,                0.07218,                 2.1252,                 10.704,                  1.971,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.7418,                 1.2657,                 1.4409,                0.74897,                0.73203,                 0.7422,                 0.3165,                 1.8792,                 1.5582,                 1.6882,               0.001604,               0.001604,               0.001604
                      8,                 1.7629,                 1.3033,                 1.4785,                0.61432,                0.56218,                0.55293,                0.20536,                 2.2229,                 1.6317,                 2.0448,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.6702,                 1.2828,                  1.436,                0.78624,                0.67974,                0.78706,                0.33537,                 1.9535,                 1.4078,                 1.7091,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.6889,                 1.1965,                 1.4524,                0.86147,                0.69094,                 0.8022,                0.36174,                 1.8425,                 1.6237,                 1.6366,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.6046,                 1.1667,                 1.4074,                0.79312,                0.72664,                0.79423,                0.33099,                 1.9198,                 1.3166,                 1.6857,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.6554,                 1.1629,                 1.4293,                0.81211,                0.66013,                 0.7806,                0.32178,                 1.9577,                 1.2466,                 1.6715,               0.001208,               0.001208,               0.001208
                     13,                 1.6031,                 1.1378,                 1.4133,                0.89775,                0.75163,                0.84945,                0.32655,                 2.0188,                 1.1721,                 1.7575,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.5546,                 1.3868,                 1.3604,                0.82814,                 0.7451,                0.84051,                0.39996,                 1.8331,                 1.2723,                 1.6532,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.6062,                 1.1305,                  1.403,                0.83992,                0.79085,                0.85912,                0.41656,                 1.7192,                 1.0687,                 1.5578,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.5122,                0.99336,                 1.3895,                0.87365,                0.73203,                0.86448,                0.40591,                 1.7848,                 1.0602,                 1.6269,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.4531,                0.91326,                 1.3585,                0.87586,                0.78397,                0.86596,                 0.4113,                  1.767,                 1.2005,                 1.5877,               0.000812,               0.000812,               0.000812
                     18,                 1.4736,                0.89709,                 1.4151,                0.85245,                 0.7451,                0.84551,                0.42595,                 1.6949,                 1.0194,                 1.5291,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.4444,                  0.871,                 1.3569,                0.87554,                0.77778,                0.87333,                0.42073,                 1.7099,                 0.9573,                 1.5172,              0.0006536,              0.0006536,              0.0006536
                     20,                  1.477,                0.82296,                 1.3938,                0.89542,                0.78342,                0.84995,                0.39273,                 1.8062,                 1.0208,                  1.568,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.3406,                0.77365,                 1.2812,                0.88408,                0.78431,                0.87758,                0.41671,                 1.6953,                0.94907,                    1.5,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.3579,                0.72729,                 1.2409,                0.87004,                0.83135,                0.90712,                0.44365,                 1.6526,                 0.8463,                 1.4825,               0.000416,               0.000416,               0.000416
                     23,                 1.3272,                  0.728,                 1.2483,                0.93011,                0.78289,                0.90964,                0.44067,                 1.7017,                0.82482,                 1.5101,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.2912,                0.69202,                  1.245,                0.92915,                0.79085,                 0.9148,                0.45804,                 1.6478,                0.83245,                 1.4751,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.2675,                0.70906,                 1.2267,                0.92652,                0.79085,                0.91167,                0.45301,                 1.6616,                0.83906,                 1.4695,              0.0001784,              0.0001784,              0.0001784
